Tray #,well number,sample type,sample ID,tin weight,total weight,sample weight,% Carbon,% Nitrogen, δC13,δ N15,C:N,ques
Tray 1 Juanes Hagfish 2019,A1,standard,dogfish liver,NA,NA,0.924,49.03,9.01,-17.82,14.74,5.44,FALSE
Tray 1 Juanes Hagfish 2019,A2,liver,LE-LIV-1,18.456,19.473,1.017,44.53,12.26,-19.8,13.12,3.63,FALSE
Tray 1 Juanes Hagfish 2019,A3,liver,LE-LIV-2,18.518,19.551,1.033,46.16,12.68,-17.71,15.96,3.64,FALSE
Tray 1 Juanes Hagfish 2019,A4,liver,LE-LIV-3,18.819,19.914,1.095,46.22,13.18,-16.97,16.49,3.51,FALSE
Tray 1 Juanes Hagfish 2019,A5,liver,LE-LIV-4,18.607,19.639,1.032,45.71,13.13,-16.68,16.57,3.48,FALSE
Tray 1 Juanes Hagfish 2019,A6,liver,LE-LIV-5,18.39,19.427,1.037,45.34,12.18,-17.41,15.87,3.72,FALSE
Tray 1 Juanes Hagfish 2019,A7,liver,LE-LIV-6,18.766,19.857,1.091,42.84,12.48,-17.14,15.99,3.43,FALSE
Tray 1 Juanes Hagfish 2019,A8,liver,LE-LIV-7,18.38,19.462,1.082,42.94,12.5,-17.93,16.02,3.43,FALSE
Tray 1 Juanes Hagfish 2019,A9,liver,LE-LIV-8,18.469,19.526,1.057,45.01,13.38,-23.59,6.95,3.36,FALSE
Tray 1 Juanes Hagfish 2019,A10,liver,LE-LIV-9,18.757,19.794,1.037,45.09,12.91,-24.61,6.52,3.49,FALSE
Tray 1 Juanes Hagfish 2019,A11,liver,LE-LIV-10,18.143,19.208,1.065,43.98,12.68,-23.95,7.6,3.47,FALSE
Tray 1 Juanes Hagfish 2019,A12,liver,LE-LIV-11,18.313,19.396,1.083,46.64,13.82,-20.3,13.54,3.37,FALSE
Tray 1 Juanes Hagfish 2019,B1,standard,dogfish liver,NA,NA,0.803,48.49,8.99,-17.86,14.75,5.4,FALSE
Tray 1 Juanes Hagfish 2019,B2,liver,LE-LIV-12,18.548,19.632,1.084,45.73,12.62,-19.84,13.26,3.62,FALSE
Tray 1 Juanes Hagfish 2019,B3,liver,LE-LIV-13,18.618,19.683,1.065,46.56,13.01,-21.57,10.8,3.58,FALSE
Tray 1 Juanes Hagfish 2019,B4,liver,LE-LIV-14,18.593,19.68,1.087,46.53,13.04,-20.9,11.56,3.57,FALSE
Tray 1 Juanes Hagfish 2019,B5,liver,LE-LIV-15,18.656,19.705,1.049,44.77,13.11,-21.28,11.89,3.41,FALSE
Tray 1 Juanes Hagfish 2019,B6,liver,LE-LIV-16,18.949,19.959,1.01,46.44,13.06,-17.66,15.64,3.56,FALSE
Tray 1 Juanes Hagfish 2019,B7,liver,LE-LIV-17,18.758,19.825,1.067,44.6,12.89,-17.29,15.89,3.46,FALSE
Tray 1 Juanes Hagfish 2019,B8,liver,LE-LIV-18,18.518,19.554,1.036,46.74,13.25,-17.25,16.53,3.53,FALSE
Tray 1 Juanes Hagfish 2019,B9,liver,LE-LIV-19,18.899,19.963,1.064,46.72,14.01,-16.97,16.26,3.34,FALSE
Tray 1 Juanes Hagfish 2019,B10,liver,LE-LIV-20,18.689,19.704,1.015,46.03,12.12,-17.96,15.61,3.8,FALSE
Tray 1 Juanes Hagfish 2019,B11,liver,LE-LIV-21,18.961,19.988,1.027,46.09,13.93,-18.66,14.11,3.31,FALSE
Tray 1 Juanes Hagfish 2019,B12,liver,LE-LIV-22,18.504,19.506,1.002,46.33,13.19,-22.46,8.76,3.51,FALSE
Tray 1 Juanes Hagfish 2019,C1,standard,dogfish liver,NA,NA,0.964,48.95,9.06,-17.53,14.81,5.4,FALSE
Tray 1 Juanes Hagfish 2019,C2,liver,LE-LIV-23,18.556,19.56,1.004,43.82,13,-18.94,13.12,3.37,FALSE
Tray 1 Juanes Hagfish 2019,C3,liver,LE-LIV-24,18.776,19.805,1.029,45.67,13.49,-17.25,15.85,3.38,FALSE
Tray 1 Juanes Hagfish 2019,C4,liver,LE-LIV-25,18.625,19.642,1.017,46.61,13.17,-20.34,12.13,3.54,FALSE
Tray 1 Juanes Hagfish 2019,C5,liver,LE-LIV-26,18.988,20.043,1.055,47.42,13.65,-20.02,13.24,3.47,FALSE
Tray 1 Juanes Hagfish 2019,C6,liver,LE-LIV-27,18.555,19.633,1.078,46.16,13.56,-17.26,15.17,3.4,FALSE
Tray 1 Juanes Hagfish 2019,C7,liver,LE-LIV-28,18.594,19.645,1.051,46.14,13.81,-19.56,12.25,3.34,FALSE
Tray 1 Juanes Hagfish 2019,C8,liver,LE-LIV-29,18.879,19.892,1.013,46.86,12.98,-16.71,16.57,3.61,FALSE
Tray 1 Juanes Hagfish 2019,C9,liver,LE-LIV-30,18.804,19.866,1.062,47.09,13.29,-17.76,14.81,3.54,FALSE
Tray 1 Juanes Hagfish 2019,C10,liver,LE-LIV-31,18.614,19.726,1.112,46.44,13.3,-17.53,14.84,3.49,FALSE
Tray 1 Juanes Hagfish 2019,C11,liver,LE-LIV-32,18.319,19.397,1.078,45.8,13.24,-16.25,17.58,3.46,FALSE
Tray 1 Juanes Hagfish 2019,C12,liver,LE-LIV-33,18.63,19.668,1.038,47.11,13.09,-17.66,15.9,3.6,FALSE
