Sample,Weight (mg),% Carbon,% Nitrogen, δC13,δ N15,C:N
acetanilide,0.885,71.18,10.20,-33.06,-1.16,6.97
acetanilide,1.248,70.96,10.41,-32.91,-1.01,6.82
acetanilide,1.266,71.13,10.47,-32.93,-1.00,6.79
acetanilide,1.208,71.09,10.36,-33.04,-1.16,6.86
acetanilide,1.121,70.58,10.24,-33.07,-1.14,6.89
acetanilide,0.841,69.37,10.12,-33.17,-1.27,6.86
acetanilide,1.208,71.09,10.36,-33.04,-1.16,6.86
acetanilide,1.121,70.58,10.24,-33.07,-1.14,6.89
acetanilide,0.841,69.37,10.12,-33.17,-1.27,6.86
acetanilide,0.941,70.41,10.27,-32.89,-1.08,6.85
acetanilide,1.231,71.25,10.39,-32.77,-1.05,6.86
acetanilide,1.197,71.09,10.36,-32.78,-1.04,6.86
acetanilide,1.053,69.85,10.28,-32.96,-1.10,6.79
acetanilide,1.082,69.85,10.31,-32.91,-1.08,6.77
